county_fips,poverty_estimate,poverty_percent,median_household_income,percent_uninsured,population_2022
16039,3 004,"10,6",63 009,,29403
16041,1 203,"8,0",71 669,,15189
16043,1 580,"11,7",61 115,,13978
16045,2 589,"12,9",60 771,,20418
16047,2 083,"13,3",59 838,,15715
16049,2 161,"12,6",60 907,,17593
16051,2 774,"8,4",76 474,,33428
16053,2 924,"11,7",61 509,,25311
16055,18 165,"10,0",75 583,,183578
16057,6 179,"16,1",60 108,,40978
16059,1 146,"14,0",55 554,,8240
16061,592,"15,8",55 128,,3763
16063,569,"10,8",61 658,,5329
16065,8 668,"21,6",52 224,,54976
16067,2 727,"12,3",60 834,,22194
16069,4 444,"10,6",65 558,,43004
16071,506,"10,8",66 175,,4712
16073,1 632,"13,1",57 142,,12613
16075,3 132,"11,7",61 725,,26956
16077,1 112,"13,9",57 426,,8068
16079,1 834,"13,3",47 005,,14012
16081,919,"7,4",95 580,,12544
16083,10 192,"11,1",63 860,,93696
16085,946,"7,7",74 166,,12464
16087,1 548,"14,2",55 072,,11087
17001,8 475,"13,4",61 747,,64725
17003,1 120,"23,4",41 378,,4858
17005,1 701,"12,0",66 071,,16566
17007,4 790,"9,1",83 695,,53154
17009,637,"13,9",78 081,,6330
17011,4 064,"12,6",63 042,,32828
17013,445,"10,4",68 525,,4360
17015,1 828,"12,8",64 157,,15529
17017,1 474,"11,8",62 129,,12657
17019,36 364,"19,0",61 205,,206542
17021,4 747,"15,6",56 888,,33436
17023,1 703,"11,4",63 655,,15229
17025,1 737,"13,5",55 282,,13047
17027,2 901,"8,2",79 612,,36909
17029,7 657,"17,5",57 712,,46334
17031,688 627,"13,7",76 614,,5109292
17033,2 050,"11,9",66 333,,18536
17035,958,"9,4",79 140,,10324
17037,12 554,"13,2",71 882,,100232
17039,1 631,"10,8",64 262,,15310
17041,1 697,"8,7",67 796,,19755
17043,61 619,"6,8",102 383,,920901
17045,2 277,"14,2",63 430,,16433
17047,675,"11,2",58 387,,6071
17049,3 133,"9,2",74 800,,34325
17051,2 513,"13,3",57 729,,21305
17053,1 516,"11,8",67 135,,13249
17055,7 166,"19,5",49 108,,37242
17057,3 997,"12,9",57 362,,33021
17059,905,"19,1",51 367,,4855
17061,1 528,"13,3",58 196,,11651
17063,3 677,"7,0",93 882,,53041
17065,1 058,"13,4",56 984,,7984
17067,2 091,"12,3",63 324,,17244
17069,637,"17,8",46 568,,3597
17071,732,"12,0",61 892,,6151
17073,4 131,"8,7",70 517,,48419
17075,3 119,"12,0",65 181,,26473
17077,11 569,"23,3",44 756,,52617
17079,966,"10,6",66 290,,9212
17081,5 096,"14,7",58 623,,36400
17083,2 057,"10,0",72 363,,21246
17085,1 828,"8,5",67 217,,21758
17087,1 692,"15,5",59 794,,13381
17089,41 027,"8,1",93 475,,514182
17091,13 994,"13,6",70 494,,106074
17093,7 862,"5,8",102 509,,137254
17095,6 788,"15,0",57 666,,48640
17097,56 275,"8,2",101 621,,709150
17099,15 239,"14,5",64 711,,108078
17101,2 109,"16,6",57 460,,14914
17103,3 757,"12,1",67 371,,33848
17105,4 054,"12,0",74 418,,35521
17107,3 303,"13,6",53 775,,27591
17109,4 971,"20,4",52 812,,26861
17111,18 106,"5,9",99 128,,311747
17113,18 099,"11,2",71 825,,171141
17115,14 579,"14,8",60 648,,101483
17117,5 241,"12,1",69 880,,44245
17119,31 585,"12,3",67 441,,263864
17121,5 518,"15,3",58 489,,36914
17123,1 345,"11,8",69 593,,11678
17125,1 598,"12,7",60 784,,12748
17127,2 076,"15,2",52 880,,13896
17129,1 034,"8,6",78 115,,12121
17131,1 318,"8,6",70 430,,15504
17133,2 115,"6,1",100 487,,35033
17135,3 862,"15,1",56 381,,28020
17137,3 606,"12,0",64 842,,32209
17139,1 428,"10,2",75 505,,14323
17141,4 320,"8,5",78 577,,51351
17143,23 909,"13,8",65 421,,178383
17145,2 720,"14,9",53 051,,20588
17147,1 211,"7,3",85 430,,16723
17149,2 345,"16,6",54 244,,14484
17151,589,"15,9",54 878,,3770
17153,1 188,"24,5",44 873,,4991
17155,419,"7,5",83 029,,5572
17157,3 999,"14,6",62 575,,30068
17159,2 208,"14,5",56 831,,15435
17161,20 347,"14,8",62 652,,141527
17163,39 066,"15,7",67 185,,252671
17165,4 253,"18,9",50 979,,23087
17167,21 500,"11,2",73 684,,194534
17169,971,"14,6",62 968,,6746
17171,542,"11,5",64 853,,4790
17173,2 327,"11,3",65 396,,20761
17175,595,"11,4",59 234,,5345
17177,6 005,"14,0",60 988,,43627
17179,11 269,"8,9",73 285,,129911
17181,3 383,"20,7",51 116,,16767
17183,12 043,"17,3",52 083,,72337
17185,1 497,"13,9",63 777,,11087
17187,2 410,"15,6",57 357,,16354
17189,1 082,"8,1",71 958,,13643
17191,2 158,"13,7",53 359,,15872
17193,1 972,"15,1",54 611,,13614
17195,6 944,"12,9",62 038,,54658
17197,48 828,"7,1",97 076,,696757
17199,8 195,"12,7",64 152,,66695
